len,naive,RK,BM,KMP,python
1,0.0,1564.679999999998,0.0,1562.0200000000048,0.0
2,3123.769999999988,0.0,4687.459999999996,1563.9199999999978,0.0
3,12502.160000000005,6250.399999999981,1562.6499999999996,9374.190000000035,0.0
4,71878.70000000013,45316.71000000011,1562.5999999999938,18751.209999999995,1562.5900000000147
5,228673.9199999998,132837.18999999994,1563.1400000000074,126566.6699999995,3125.25
6,637918.6299999967,358041.02999999945,1897.0299999999936,221881.100000001,4510.539999999988
7,880545.6999999997,505409.0000000014,5431.50999999999,325986.5499999998,3363.3700000000176
8,927845.8600000008,553258.1999999977,6562.689999999982,401847.5099999995,7071.999999999998
9,922109.8100000005,525779.6600000028,6250.969999999993,367852.94999999925,7810.4000000000015
10,900916.5399999972,579318.6899999974,4688.950000000008,365810.3000000009,3636.199999999997
11,929564.6199999978,553842.5199999992,1662.460000000002,356639.3899999995,7812.829999999989
12,934286.6700000024,541505.9799999979,3225.199999999987,378187.7400000001,11539.059999999992
13,964929.640000002,508555.3999999993,7254.560000000017,388512.00000000006,7252.950000000015
14,943706.4600000032,554609.0999999988,3168.899999999987,371701.5200000014,7913.66
15,930779.5399999983,529990.2899999936,4687.810000000014,373774.31,4687.839999999975
16,962874.8700000003,512050.88999999955,4699.450000000003,372327.7000000004,9735.029999999979
17,960894.6999999975,534480.7900000033,5543.319999999996,404459.9499999991,6356.860000000021
18,981546.3100000002,549473.4400000009,1682.429999999992,330792.7699999997,9193.439999999995
19,957307.1399999979,544331.3100000011,7715.23999999999,349912.5500000007,9318.539999999995
20,977807.0899999951,534765.699999997,6150.369999999994,349717.50999999954,3925.930000000028
21,954591.7200000038,533516.4100000003,8093.03000000001,398285.08999999985,9008.77000000005
22,923803.7600000008,553476.7199999985,9812.279999999997,359185.09,8478.629999999988
23,939795.0700000001,508122.3700000008,3700.3500000000035,386609.88000000094,6554.619999999993
24,965930.4200000007,509342.949999999,7327.2600000000375,383514.4299999991,8421.840000000007
25,957520.8400000014,509487.78,4129.649999999993,391540.89000000013,6721.309999999999
26,932409.7299999978,571705.420000002,4044.8199999999906,397979.1400000018,13921.659999999998
27,951012.1100000017,516878.3700000019,6702.8200000000015,385623.5300000003,8363.229999999969
28,899207.5899999937,589870.82,12132.540000000006,374858.9699999992,3834.9800000000014
29,979387.6900000016,573358.6600000059,10941.860000000006,355814.95000000106,9213.300000000003
30,957017.3799999997,550622.29,14480.90000000005,365234.4700000005,7280.4199999999755
31,958397.7399999988,503375.9800000018,15626.039999999954,377516.1299999996,7814.55999999995
32,937822.2700000014,559064.84,4687.680000000015,355216.1100000011,4689.499999999987
33,934434.2000000014,553147.57,7813.080000000032,359415.41000000044,4687.910000000015
34,953185.0200000018,484409.2199999989,12500.729999999992,400029.4500000004,9375.549999999974
35,929768.9899999958,544400.1400000021,7166.330000000014,363441.9400000007,10035.44000000003
36,950297.2799999975,513532.7799999995,1894.9499999999991,402621.1400000006,8107.659999999974
37,971568.4600000014,535898.390000003,15283.949999999977,383191.0099999992,8260.849999999964
38,927006.7299999997,548098.7299999987,18731.240000000038,355737.64000000106,5390.8399999999765
39,926476.9599999989,580290.9399999988,18391.33000000007,336839.35999999935,8276.029999999972
40,951637.8,528144.4700000002,9375.669999999986,389090.0600000018,3126.4000000000083
41,968455.0500000038,498428.52999999997,18320.749999999967,377505.9600000012,6037.74
42,937508.2100000017,558028.8899999991,11488.87999999995,373666.9200000011,6011.979999999992
43,976226.7700000011,506147.69999999966,6379.300000000015,373281.6500000001,3451.459999999993
44,948762.8600000014,538044.4700000006,16241.53,366955.41000000015,13442.430000000042
45,942343.9699999985,524107.5900000001,18506.09999999998,370020.8199999983,3305.250000000006
46,933218.2100000001,540942.0500000003,13638.520000000022,372641.47000000015,3053.6000000000017
47,903181.9700000004,565666.7,7812.980000000026,357834.97000000044,1562.6100000000042
48,962545.8500000021,512535.65000000084,9375.629999999983,348479.5400000009,7813.060000000033
49,917123.0200000004,571640.9000000021,15170.100000000013,372397.6199999992,13051.550000000005
50,1036987.6000000027,576468.1399999991,17460.949999999903,427430.60999999876,5080.529999999993
51,961507.9100000001,499454.33000000037,9479.259999999951,405061.57000000024,4687.6599999999935
52,924881.58,530724.8299999984,9727.759999999986,361284.22999999986,11092.509999999967
53,954753.029999996,542226.8999999986,9375.64999999999,359393.2100000012,6250.389999999993
54,901629.1799999996,528155.7899999991,15626.079999999998,404712.9599999999,4687.799999999999
55,958886.7599999992,515491.6699999994,12816.349999999995,382273.76000000036,11037.099999999953
56,929027.7199999988,520934.4600000003,18751.169999999995,386175.2499999984,7848.920000000024
57,948519.3899999987,512534.15999999986,21876.520000000022,367194.0099999996,4687.760000000035
58,904397.1800000014,536189.2100000004,12711.459999999926,391881.2500000005,8113.749999999976
59,966630.5899999982,511134.310000001,7985.549999999988,349744.74000000034,9375.630000000043
60,937511.1300000004,537522.5499999997,15625.990000000018,377624.27999999997,7812.970000000018
61,887543.6500000028,535990.3000000005,10938.23999999996,415680.81999999937,9375.72000000001
62,1015804.190000001,504827.1999999997,21876.26999999994,315673.31999999995,6250.399999999988
63,952384.930000001,536779.5000000003,21222.53000000003,373964.35,3124.7000000000066
64,966218.2200000017,503562.7400000021,6349.719999999984,375250.5199999996,12500.749999999969
65,940171.3399999981,511593.03000000044,18851.309999999987,392410.5799999997,4687.819999999974
66,879749.3400000003,529721.7399999991,26564.330000000034,415649.80999999907,6250.520000000014
67,929748.5200000005,514075.3499999994,10938.370000000015,420363.3999999995,3125.2299999999923
68,904747.0300000013,565664.0899999995,12500.889999999961,384402.03,4687.819999999994
69,906287.239999997,559417.7299999984,14063.400000000016,367229.0399999988,7813.069999999988
70,892249.5800000008,548473.7099999967,12500.82000000006,420340.7199999999,10938.36
71,896965.0000000008,562534.9399999997,20313.90999999993,370338.80000000057,12501.25000000003
72,912426.5400000024,515002.94000000024,23542.779999999995,400622.2300000003,17189.260000000024
73,937552.3200000024,528139.2200000002,10938.210000000021,384431.1500000007,6250.380000000004
74,913408.0900000002,516062.18000000005,23439.000000000204,394175.560000001,3125.200000000004
75,946943.7899999996,548457.060000002,14062.28000000002,362538.6000000011,6248.700000000002
76,956347.3400000039,523436.66999999667,15626.020000000026,367216.11999999994,1561.319999999986
77,903183.7399999982,520354.18999999977,20313.910000000044,407834.91999999917,10938.139999999952
78,919322.7199999992,550642.1300000012,20313.950000000077,389413.59999999974,7813.0200000000295
79,895887.94,561750.1499999998,23437.48999999998,391447.95999999816,6250.399999999998
