pat_len,txt_len,naive,RK,BM,KMP,python

10,11,1000.1000000000004,1000.2000000000002,1000.2000000000013,1942.4000000000015,1000.2999999999984

10,12,0.0,3006.2000000000016,2000.7000000000014,3000.499999999999,0.0

10,13,3000.5,2000.599999999995,2000.6999999999991,2000.4000000000008,0.0

10,14,2000.4000000000017,3000.500000000001,4014.3000000000006,1000.2000000000006,0.0

10,15,2000.4000000000008,3012.9000000000055,3000.8,2000.4000000000012,0.0

10,16,2000.3000000000002,3000.5999999999976,1000.2999999999984,3000.9000000000005,0.0

10,17,2006.6000000000022,2000.6999999999996,2991.500000000001,2994.4000000000015,0.0

10,18,1000.2000000000011,3999.600000000001,0.0,7001.500000000003,0.0

10,19,2006.399999999998,0.0,3792.500000000004,5001.200000000003,2202.799999999998

10,20,2006.6,1985.0999999999985,3999.1000000000017,4007.0999999999976,0.0

10,21,2005.8000000000004,3000.6,4005.999999999998,3000.7999999999984,995.2999999999994

10,22,4002.600000000001,3000.5000000000005,2993.599999999998,5001.500000000008,0.0

10,23,2000.5999999999995,5001.200000000008,2000.3999999999994,5000.900000000009,0.0

10,24,2000.4999999999986,3963.000000000003,4005.9,3033.600000000002,0.0

10,25,4000.9999999999964,4996.299999999996,2000.5,3000.399999999999,0.0

10,26,1657.0000000000018,3344.300000000001,4003.799999999997,3000.599999999998,0.0

10,27,4000.7999999999997,2000.4000000000012,4000.8000000000025,1000.1999999999995,1000.2999999999984

10,28,2000.7999999999988,1599.1000000000017,6402.699999999988,1000.0999999999995,2000.0999999999983

10,29,4001.2999999999993,6001.2999999999965,4000.2999999999993,2000.4999999999977,0.0

10,30,5000.900000000005,4001.199999999999,2000.2999999999984,4000.999999999997,1000.2000000000006

10,31,4235.199999999999,4000.8000000000006,3766.6999999999994,4000.9,0.0

10,32,5007.499999999997,3994.600000000001,3000.7999999999975,3000.5,0.0

10,33,6823.700000000008,2190.199999999999,3989.200000000008,2000.6000000000013,0.0

10,34,6001.400000000005,2994.5999999999967,3000.9000000000005,3006.6,0.0

10,35,4213.200000000001,5007.399999999993,4788.800000000002,2994.5,0.0

10,36,5987.500000000013,1000.2000000000004,5013.9000000000015,3002.0,1007.8000000000018

10,37,5994.500000000007,5000.999999999985,4000.599999999996,3007.8000000000056,0.0

10,38,4001.000000000001,3000.5,4007.1999999999994,4994.999999999999,0.0

10,39,4995.200000000003,3251.2999999999943,4007.2999999999965,3000.2999999999997,0.0

10,40,6807.5999999999885,4000.9000000000024,3207.400000000004,3000.9999999999973,0.0

10,41,6014.600000000006,6007.400000000002,0.0,4981.600000000002,0.0

10,42,3000.8000000000006,4000.7999999999997,3000.4,2006.8999999999965,0.0

10,43,4835.199999999992,6166.899999999994,4001.2,5001.200000000002,0.0

10,44,9001.900000000003,4007.200000000012,3000.599999999998,3994.7999999999965,0.0

10,45,7007.700000000005,2994.6999999999994,3000.499999999999,5001.099999999999,1000.2000000000008

10,46,5001.000000000001,6988.700000000006,4000.8999999999974,2000.899999999999,1006.4000000000008

10,47,8001.999999999996,4000.9999999999973,4994.900000000008,1012.7000000000055,0.0

10,48,5000.5999999999985,7007.600000000001,4995.499999999999,2000.700000000001,1000.0999999999997

10,49,6002.100000000001,4000.4999999999936,2000.6,6000.9,1000.0999999999999

10,50,3988.2000000000003,5000.900000000001,7987.999999999992,1999.9999999999995,0.0

10,51,11994.500000000013,5021.999999999999,2989.6999999999957,1000.7000000000016,0.0

10,52,6016.200000000002,5001.200000000004,3990.9000000000046,4985.3000000000075,0.0

10,53,4986.200000000007,7988.500000000003,2005.2,4018.0000000000086,0.0

10,54,5995.000000000005,8004.999999999993,989.4000000000008,3984.500000000007,0.0

10,55,6969.700000000012,7023.100000000006,3010.899999999999,2989.599999999999,0.0

10,56,9115.200000000013,1915.5999999999992,3983.3,6007.7999999999965,2000.4000000000008

10,57,9014.000000000004,4990.400000000006,3004.6000000000004,3974.300000000012,1010.9999999999989

10,58,8006.399999999995,2004.900000000001,4985.400000000002,8019.199999999995,0.0

10,59,8047.700000000002,3983.799999999995,3988.4999999999955,7974.599999999998,0.0

10,60,11004.099999999997,6024.300000000006,989.5999999999991,3003.699999999998,1000.1000000000004

10,61,6992.500000000004,4997.400000000002,3010.100000000003,6000.200000000006,0.0

10,62,8010.900000000009,3985.6000000000063,7990.599999999994,4012.1999999999994,0.0

10,63,7004.099999999993,6998.899999999997,3008.1000000000017,3982.9000000000033,0.0

10,64,6997.299999999989,9001.900000000005,2000.2000000000003,7010.999999999997,0.0

10,65,7031.900000000004,7984.799999999993,2981.499999999999,5002.100000000005,1005.0000000000016

10,66,7012.900000000011,7013.500000000003,1994.600000000001,5999.60000000001,2000.4000000000003

10,67,5780.999999999988,10228.1,1994.8999999999996,6028.499999999995,0.0

10,68,9981.299999999994,7016.500000000001,2000.3999999999999,5006.999999999997,0.0

